Genres,Source,Type,Episodes,Score,Favorites,Decimal,Popularity
"Mistery, Comedy, Sci-Fi, Fantasy, Shounen, Action, Ecchi",Original,TV,13,6.66,17,33085,4179
"Comedy, Fantasy, Shounen, Action, Otro",Manga,Special,1,7.23,2,4125,5727
"Comedy, Romance",Original,TV,0,5.54,1,3,10231
"Comedy, Shounen",Manga,Special,7,6.97,6,17,4624
"Sci-Fi, Romance, Action",Light novel,Special,1,7.42,2,42,6393
"Mistery, Sci-Fi, Fantasy, Action",Original,Special,1,7.22,1,32812,7003
"Comedy, Romance, Ecchi",Manga,OVA,1,6.1,12,259,5238
"Comedy, Sci-Fi, Fantasy, Shounen",Manga,TV,25,6.75,8,53,5169
"Comedy, Shounen, Otro",Card game,Special,1,7.04,3,4113,4681
"Comedy, Fantasy, Action, Otro",Game,Special,1,5.77,0,4109,10961
"Historical, Romance, Fantasy",Novel,TV,33,8.45,318,1030,2528
"Sci-Fi, Fantasy, Action",Manga,Movie,1,6.93,5,44,5734
"Comedy, Romance, Shounen, Supernatural",Manga,TV,120,8.56,2969,147,580
"Comedy, Sci-Fi, Shounen",Manga,Movie,1,7.49,8,49,7814
Comedy,Web manga,Special,1,6.11,0,1,12499
"Romance, Shounen, Action, Supernatural",Manga,TV,12,7.8,1756,154,200
"Sports, Romance, Shoujo, Music",Game,TV,51,7.75,121,12802,4356
Otro,Light novel,Special,1,7.26,100,4096,1372
"Comedy, Romance, Ecchi",Light novel,TV,12,7.45,635,259,632
"Comedy, Romance, Shounen, Supernatural",Manga,TV,24,8.67,473,147,1319
"Comedy, Fantasy, Action, Otro",Game,TV,191,7.24,283,4109,1259
"Comedy, Sci-Fi, Romance, Shounen, Supernatural, Ecchi",Manga,TV,12,7.75,920,435,408
"Comedy, Fantasy, Action, Otro",Game,Special,1,6.35,0,4109,7950
"Comedy, Sci-Fi, Romance, Fantasy, Otro",Original,TV,26,8.15,1333,4135,902
"Comedy, Romance, Shounen, Supernatural",Manga,TV,12,6.81,10,147,6015
"Romance, Shoujo",Manga,OVA,1,5.59,4,514,4244
"Comedy, Romance, Supernatural, Otro",Manga,TV,13,8.3,480,4227,944
"Sports, Romance",Original,TV,26,7.27,35,4098,4239
"Sports, Action, Ecchi",Manga,TV,12,5.92,57,4360,2013
"Historical, Fantasy, Shoujo, Gore, Supernatural",Manga,OVA,2,6.19,2,18052,6139
"Mistery, Sci-Fi, Shounen, Action, Otro",Manga,TV,26,8.55,2392,36920,545
"Fantasy, Music",Original,ONA,0,4.41,0,8196,12434
"Comedy, Historical, Fantasy, Ecchi",Visual novel,TV,12,6.94,41,1285,2429
"Fantasy, Action, Supernatural, Ecchi",Light novel,OVA,8,7.27,170,396,1155
"Comedy, Romance",Original,Movie,1,7.83,4,3,4951
"Comedy, Fantasy, Otro",Original,Movie,1,5.86,1,4101,11512
"Comedy, Shounen, Supernatural, Otro",Manga,TV,25,7.71,544,4241,1538
"Comedy, Romance, Fantasy",Manga,TV,24,8.06,1320,7,814
